seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13182,729691,0,44816140,16',Valentin Depietri (Talleres (Córdoba)) Yellow Card at 16',2025-03-06 12:58:28
13182,729691,1,44816241,20',Gastón Benavídez (Talleres (Córdoba)) Yellow Card at 20',2025-03-06 12:58:28
13182,729691,2,44816250,22',Enzo Pérez (River Plate) Yellow Card at 22',2025-03-06 12:58:28
13182,729691,3,44816290,25',Germán Pezzella (River Plate) Yellow Card at 25',2025-03-06 12:58:28
13182,729691,4,44816464,37',Facundo Colidio (River Plate) Substitution at 37',2025-03-06 12:58:28
13182,729691,5,44816854,59',Santiago Simón (River Plate) Yellow Card at 59',2025-03-06 12:58:28
13182,729691,6,44816856,63',Rick  (Talleres (Córdoba)) Substitution at 63',2025-03-06 12:58:28
13182,729691,7,44816857,66',Gonzalo Martínez (River Plate) Substitution at 66',2025-03-06 12:58:28
13182,729691,8,44816886,70',Manuel Lanzini (River Plate) Substitution at 70',2025-03-06 12:58:28
13182,729691,9,44816887,70',Paulo Díaz (River Plate) Substitution at 70',2025-03-06 12:58:28
13182,729691,10,44816924,74',Nahuel Bustos (Talleres (Córdoba)) Substitution at 74',2025-03-06 12:58:28
13182,729691,11,44816925,75',Emanuel Reynoso (Talleres (Córdoba)) Substitution at 75',2025-03-06 12:58:28
13182,729691,12,44816943,78',Matías Galarza (Talleres (Córdoba)) Yellow Card at 78',2025-03-06 12:58:28
13182,729691,13,44816959,82',Juan Portilla (Talleres (Córdoba)) Yellow Card at 82',2025-03-06 12:58:28
13182,729691,14,44816973,84',Diego Ortegoza (Talleres (Córdoba)) Yellow Card at 84',2025-03-06 12:58:28
13182,729691,15,44817039,90',Matías Kranevitter (River Plate) Substitution at 90',2025-03-06 12:58:28
13182,729691,16,44817040,90',Matías Rojas (River Plate) Substitution at 90',2025-03-06 12:58:28
13182,729691,17,44817081,100',Miguel Borja (River Plate) Yellow Card at 100',2025-03-06 12:58:28
13182,729691,18,44817118,105',Joaquín Mosqueira (Talleres (Córdoba)) Substitution at 105',2025-03-06 12:58:28
13182,729691,19,44817119,105',Blas Riveros (Talleres (Córdoba)) Substitution at 105',2025-03-06 12:58:28
13182,729691,20,44817145,119',Cristian Tarragona (Talleres (Córdoba)) Substitution at 119',2025-03-06 12:58:28
