seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13277,2025,CONCACAF.LEAGUES.CUP,4771,82716,2,1,2,4,0,0,0,0,0,1,2,1,0,0,2,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,4771,93084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,4771,148356,2,0,2,2,0,0,0,0,0,2,2,0,0,0,3,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,4771,153613,2,0,7,2,0,0,0,0,0,1,3,0,0,0,3,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,4771,157111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,4771,172605,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,4771,186385,1,1,2,2,0,0,0,0,0,0,3,0,0,0,0,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,4771,199822,2,0,0,1,0,0,0,0,0,2,2,1,0,0,3,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,4771,203329,2,0,2,1,0,0,1,1,1,2,3,0,0,3,3,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,4771,235485,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,4771,243168,2,0,4,3,0,0,0,0,0,0,0,0,0,0,3,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,4771,265977,2,0,2,5,0,0,0,0,0,0,0,0,0,0,3,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,4771,270238,2,0,4,2,0,0,0,0,0,0,3,0,0,0,3,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,4771,273769,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,4771,294874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,4771,295620,2,0,4,2,1,0,0,0,0,0,0,0,0,1,3,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,4771,296109,2,1,0,5,0,0,0,0,0,0,0,0,0,1,1,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,4771,304625,2,0,0,0,0,0,0,0,0,0,0,0,21,9,3,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,4771,362114,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-14 05:51:54
